id;year;lovsange;bjorkefi;graatros;trepiple;blaastru;sivspurv;rodvinge;graasisi
1;1967;125,7;75;41,3;6,3;16,3;8,8;6,3;8,8
2;1968;125,7;60;33,8;8,8;16,3;12,5;10;8,8
3;1969;155,7;47;12,5;10;3,8;16,3;8,8;2,5
4;1970;144,5;60;12,5;6,3;3,8;6,3;6,3;16,3
5;1971;107;75;21,3;8,8;12,5;10;10;46,3
6;1972;125,7;62;37,5;6,3;8,8;21,3;8,8;12,5
7;1973;99,5;78,8;41,3;2,5;16,3;22,5;12,5;3,8
8;1974;93,8;88,2;25;3,8;16,3;28,8;12,5;16,3
9;1975;80,7;93,8;25;6,3;3,8;3,8;12,5;25
10;1976;80,7;93,8;16,3;8,8;6,3;15;18,8;21,3
11;1977;71,3;80,7;25;2,5;3,8;15;10;16,3
12;1978;112,5;28,2;12,5;8,8;15;21,3;8,8;0
13;1979;75;24,5;41,3;3,8;6,3;6,3;6,3;0
14;1980;99,5;18,8;3,8;3,8;2,5;2,5;3,8;16,3
15;1981;69,6;37,5;8,8;3,8;8,8;8,8;8,8;28,8
16;1982;88,2;41,3;3,8;3,8;16,3;18,8;16,3;8,8
17;1983;82,5;52,5;8,8;3,8;6,3;6,3;6,3;3,8
18;1984;80,7;62;28,8;8,8;10;10;10;8,8
19;1985;80,7;63,8;25;6,3;10;2,5;16,3;10
20;1986;65,7;67,5;12,5;6,3;8,8;6,3;3,8;2,5
21;1987;78,8;43,2;3,8;2,5;3,8;3,8;15;0
22;1988;75;50,7;25;6,3;12,5;8,8;16,3;0
23;1989;93,8;3,8;50;3,8;12,5;8,8;16,3;2,5
24;1990;75;11,3;50;3,8;10;7,5;16,3;0
25;1991;65,7;9,5;37,5;3,8;2,5;8,8;8,8;8,8
26;1992;56,3;15;12,5;2,5;2,5;2,5;10;2,5
27;1993;88,2;41,3;33,8;2,5;2,5;11,3;11,3;41,3
28;1994;50,7;24,5;28,8;3,8;3,8;12,5;16,3;3,8
29;1995;69,5;37,5;25;6,3;3,8;12,5;6,3;3,8
30;1996;93,8;93,8;16,3;10;6,3;8,8;10;15
31;1997;99,5;75;28,8;10;8,8;16,3;3,8;12,5
32;1998;NA;NA;NA;NA;NA;NA;NA;NA
33;1999;NA;NA;NA;NA;NA;NA;NA;NA
34;2000;97,5;28,2;37,5;3,8;6,3;6,3;6,3;15
35;2001;71,3;28,2;41,3;10;2,5;12,5;15;16,3
36;2002;107;50,7;62,5;6,3;3,8;6,3;16,3;12,5
37;2003;84,5;65,7;66,3;10;3,8;6,3;10;18,8
38;2004;78,8;56,3;37,5;12,5;2,5;10;15;6,3
39;2005;91,7;55,2;52,1;10,4;18,8;14,6;21,3;4,2
40;2006;104,2;30,2;50;0;3,1;4,2;11,5;7,3
41;2007;96,9;90,6;66,7;10,4;0;2,1;16,7;34,4
42;2008;97,9;58,3;54,2;9,4;0;0;6,3;11,5
43;2009;111,5;40,6;133,3;4,2;0;4,2;11,5;16,7
44;2010;71,9;50;118,8;6,3;1;14,6;14,6;29,2
45;2011;102,1;84,4;33,3;15,6;0;4,2;6,3;26
46;2012;52,1;28,1;25;0;0;2,1;7,3;16,7
47;2013;46,9;25;22,9;8,3;0;4,2;3,1;8,3
48;2014;42,7;40,6;8,3;3,1;0;0;0;8,3
49;2015;52,1;21,9;4,2;0;0;0;2,1;4,2
50;2016;56,3;72,9;4,2;6,3;0;0;6,3;12,5
51;2017;61,5;42,7;4,2;0;0;0;9,4;25
52;2018;96,9;84,4;45,8;20,8;0;0;16,7;11,4
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
