"","Year","Annual","Summer"
"1900",1900,1.435,10.8133333333333
"1901",1901,3.10333333333333,13.66
"1902",1902,1.62666666666667,9.2
"1903",1903,3.02833333333333,10.3133333333333
"1904",1904,2.01833333333333,9.88
"1905",1905,2.65333333333333,11.7733333333333
"1906",1906,3.06666666666667,11.18
"1907",1907,2.84833333333333,10.2733333333333
"1908",1908,2.90833333333333,10.96
"1909",1909,1.99333333333333,10.1133333333333
"1910",1910,3.50666666666667,11.7266666666667
"1911",1911,3.26333333333333,11.2133333333333
"1912",1912,3.20166666666667,12.8733333333333
"1913",1913,3.44166666666667,11.2266666666667
"1914",1914,3.795,13.2333333333333
"1915",1915,0.978333333333333,10.0933333333333
"1916",1916,2.83333333333333,11.6666666666667
"1917",1917,2.385,12.7933333333333
"1918",1918,3.10166666666667,11.6666666666667
"1919",1919,1.88,10.62
"1920",1920,3.71267605633803,10.9764705882353
"1921",1921,3.25740740740741,9.31111111111111
"1922",1922,2.5537037037037,11.3037037037037
"1923",1923,2.51287878787879,9.93030303030303
"1924",1924,3.9195652173913,12.3485714285714
"1925",1925,3.67708333333333,13.2361111111111
"1926",1926,3.45138888888889,12.4833333333333
"1927",1927,3.34930555555556,13.1833333333333
"1928",1928,3.06597222222222,9.54722222222222
"1929",1929,3.31901408450704,10.2333333333333
"1930",1930,5.17083333333333,13.9972222222222
"1931",1931,2.79375,10.5166666666667
"1932",1932,3.94242424242424,11.0878787878788
"1933",1933,4.09242424242424,13.0484848484848
"1934",1934,5.40491803278689,12.9266666666667
"1935",1935,4.08253968253968,11.765625
"1936",1936,4.63461538461539,13.4051282051282
"1937",1937,4.84166666666667,14.3666666666667
"1938",1938,5.57884615384615,12.8205128205128
"1939",1939,4.48726114649682,13.0564102564103
"1940",1940,2.94261363636364,11.4866666666667
"1941",1941,2.94333333333333,12.6822222222222
"1942",1942,2.78722222222222,11.2244444444444
"1943",1943,4.97277777777778,11.8844444444444
"1944",1944,4.39888888888889,12.08
"1945",1945,4.48388888888889,13.1466666666667
"1946",1946,4.87978142076503,13.1133333333333
"1947",1947,3.653125,13.5375
"1948",1948,4.9265625,11.8770833333333
"1949",1949,5.0515625,11.1916666666667
"1950",1950,4.7921875,13.43125
"1951",1951,3.99322916666667,11.6229166666667
"1952",1952,3.12901554404145,11.0020833333333
"1953",1953,5.65588235294118,14.3156862745098
"1954",1954,4.34019607843137,12.1647058823529
"1955",1955,3.29264705882353,12.2254901960784
"1956",1956,3.59100529100529,11.1
"1957",1957,4.36612903225806,11.4234042553191
"1958",1958,3.5,11.7392156862745
"1959",1959,5.06323529411765,12.4941176470588
"1960",1960,4.00837438423645,12.7862745098039
"1961",1961,5.01078431372549,11.8490196078431
"1962",1962,3.37009803921569,10.3078431372549
"1963",1963,4.43333333333333,12.6132075471698
"1964",1964,4.65925925925926,10.8037037037037
"1965",1965,3.48862559241706,10.9692307692308
"1966",1966,2.65308056872038,12.424
"1967",1967,4.24897959183673,11.5553191489362
"1968",1968,3.40970873786408,11.802
"1969",1969,3.65980861244019,14.19
"1970",1970,3.47183098591549,12.8980769230769
"1971",1971,4.35067264573991,11.5527272727273
"1972",1972,4.90535714285714,13.2909090909091
"1973",1973,4.29285714285714,12.0980769230769
"1974",1974,4.97222222222222,11.9615384615385
"1975",1975,4.87743362831858,11.3381818181818
"1976",1976,3.35793991416309,11.4660714285714
"1977",1977,3.3364406779661,11.0421052631579
"1978",1978,3.06765957446809,12.2701754385965
"1979",1979,3.00833333333333,11.622641509434
"1980",1980,3.6093896713615,13.6176470588235
"1981",1981,2.97981220657277,10.6019230769231
"1982",1982,4.11708542713568,11.4893617021277
"1983",1983,4.376,10.9672727272727
"1984",1984,4.42870813397129,11.018
"1985",1985,2.98101851851852,12.5288461538462
"1986",1986,3.42767857142857,11.9254545454545
"1987",1987,3.37442922374429,10.7833333333333
"1988",1988,4.61285714285714,13.28
"1989",1989,5.43632075471698,11.8230769230769
"1990",1990,5.72830188679245,12.7803921568627
"1991",1991,4.94366197183099,12.4038461538462
"1992",1992,4.94504950495049,12.2816326530612
"1993",1993,4.11609756097561,10.769387755102
"1994",1994,4.03838383838384,12.2666666666667
"1995",1995,4.22924528301887,11.2730769230769
"1996",1996,3.84319248826291,12.4660377358491
"1997",1997,4.98,14.4634615384615
"1998",1998,4.521608040201,11.696
"1999",1999,4.94393939393939,11.9816326530612
"2000",2000,5.2530612244898,10.7
"2001",2001,4.24438775510204,11.9625
"2002",2002,5.30314136125654,15.1148936170213
"2003",2003,5.38214285714286,14.0145833333333
"2004",2004,5.379,12.478431372549
"2005",2005,5.41141552511416,12.6
"2006",2006,6.14413145539906,14.2351851851852
"2007",2007,5.35276381909548,13.5877551020408
"2008",2008,5.83467336683417,13.2156862745098
"2009",2009,5.56833333333333,13.3133333333333
"2010",2010,3.27333333333333,12.6711111111111
"2011",2011,6.50280898876404,13.5555555555556
"2012",2012,4.79553072625698,11.9866666666667
"2013",2013,5.61287128712871,13.1666666666667
"2014",2014,6.98480392156863,14.8137254901961
"2015",2015,6.54509803921569,12.5137254901961
"2016",2016,5.81512195121951,12.9705882352941
"2017",2017,5.68535825545171,12.7337662337662
"2018",2018,5.32271762208068,13.3131147540984
"2019",2019,4.95879917184265,13.6568965517241
"2020",2020,6.16314814814815,13.7303703703704
