Station;Date;Day;Month;Year;Species Richness;Elevation (m)
Dovre;28.6.1988;28;6;1988;7;1060
Dovre;1.8.1988;1;8;1988;6;1060
Dovre;28.6.1989;28;6;1989;1;1060
Dovre;8.7.1989;8;7;1989;1;1060
Dovre;14.8.1990;14;8;1990;2;1060
Dovre;13.7.1991;13;7;1991;3;1060
Dovre;4.8.1991;4;8;1991;1;1060
Dovre;14.8.1991;14;8;1991;3;1060
Dovre;25.9.1991;25;9;1991;2;1060
Dovre;20.8.1992;20;8;1992;4;1060
Dovre;8.7.1993;8;7;1993;2;1060
Dovre;26.8.1994;26;8;1994;3;1060
Folldal;18.6.1986;18;6;1986;2;710
Folldal;18.7.1986;18;7;1986;1;710
Folldal;28.8.1986;28;8;1986;1;710
Folldal;14.7.1987;14;7;1987;3;710
Folldal;3.8.1987;3;8;1987;2;710
Folldal;1.9.1987;1;9;1987;4;710
Folldal;25.9.1987;25;9;1987;3;710
Folldal;1.1.1988;1;1;1988;1;710
Folldal;28.6.1988;28;6;1988;6;710
Folldal;29.6.1988;29;6;1988;1;710
Folldal;1.8.1988;1;8;1988;5;710
Folldal;2.8.1988;2;8;1988;3;710
Folldal;25.8.1988;25;8;1988;3;710
Folldal;8.7.1989;8;7;1989;3;710
Folldal;10.7.1990;10;7;1990;1;710
Folldal;14.8.1990;14;8;1990;1;710
Folldal;5.6.1991;5;6;1991;2;710
Folldal;13.7.1991;13;7;1991;4;710
Folldal;4.8.1991;4;8;1991;4;710
Folldal;25.9.1991;25;9;1991;5;710
Folldal;29.5.1992;29;5;1992;3;710
Folldal;15.7.1992;15;7;1992;5;710
Folldal;20.8.1992;20;8;1992;4;710
Folldal;28.5.1993;28;5;1993;3;710
Folldal;29.5.1993;29;5;1993;1;710
Folldal;8.7.1993;8;7;1993;4;710
Folldal;22.6.1994;22;6;1994;3;710
Folldal;21.7.1994;21;7;1994;1;710
Folldal;26.8.1994;26;8;1994;3;710
Folldal;25.9.1994;25;9;1994;1;710
Folldal;7.10.1994;7;10;1994;1;710
Folldal;8.8.1995;8;8;1995;1;710
Folldal;19.6.1997;19;6;1997;1;710
Folldal;18.7.1997;18;7;1997;1;710
Folldal;14.8.1997;14;8;1997;2;710
StorElvdal;18.6.1986;18;6;1986;6;380
StorElvdal;17.7.1986;17;7;1986;6;380
StorElvdal;27.8.1986;27;8;1986;5;380
StorElvdal;28.8.1986;28;8;1986;5;380
StorElvdal;13.7.1987;13;7;1987;6;380
StorElvdal;3.8.1987;3;8;1987;6;380
StorElvdal;1.9.1987;1;9;1987;1;380
StorElvdal;2.9.1987;2;9;1987;6;380
StorElvdal;25.9.1987;25;9;1987;5;380
StorElvdal;28.6.1988;28;6;1988;7;380
StorElvdal;1.8.1988;1;8;1988;6;380
StorElvdal;25.8.1988;25;8;1988;6;380
StorElvdal;8.7.1989;8;7;1989;7;380
StorElvdal;14.8.1990;14;8;1990;5;380
StorElvdal;1990;;;1990;2;380
StorElvdal;5.6.1991;5;6;1991;3;380
StorElvdal;13.7.1991;13;7;1991;8;380
StorElvdal;4.8.1991;4;8;1991;5;380
StorElvdal;25.9.1991;25;9;1991;7;380
StorElvdal;29.5.1992;29;5;1992;3;380
StorElvdal;10.8.1992;10;8;1992;1;380
StorElvdal;20.8.1992;20;8;1992;7;380
StorElvdal;27.5.1993;27;5;1993;6;380
StorElvdal;8.7.1993;8;7;1993;6;380
StorElvdal;27.1.1994;27;1;1994;1;380
StorElvdal;20.6.1994;20;6;1994;5;380
StorElvdal;21.7.1994;21;7;1994;5;380
StorElvdal;26.8.1994;26;8;1994;6;380
StorElvdal;3.10.1994;3;10;1994;1;380
StorElvdal;5.10.1994;5;10;1994;5;380
StorElvdal;7.8.1995;7;8;1995;5;380
StorElvdal;19.6.1997;19;6;1997;7;380
StorElvdal;18.7.1997;18;7;1997;4;380
StorElvdal;14.8.1997;14;8;1997;7;380
