"","Species","P","Bp1","Bp1se","Bp2","Bp2se"
"1","Arabidopsis suecica",NA,NA,NA,NA,NA
"2","Arabidopsis thaliana",NA,NA,NA,NA,NA
"3","Astragalus alpinus",NA,NA,NA,NA,NA
"4","Botrychium lunaria",NA,NA,NA,NA,NA
"5","Carex capillaris",NA,NA,NA,NA,NA
"6","Cerastium cerastoides",NA,NA,NA,NA,NA
"7","Draba alpina",NA,NA,NA,NA,NA
"8","Draba cacuminum",NA,NA,NA,NA,NA
"9","Draba fladnizensis",NA,NA,NA,NA,NA
"10","Draba nivalis",NA,NA,NA,NA,NA
"11","Draba oxycarpa",NA,NA,NA,NA,NA
"12","Draba verna",NA,NA,NA,NA,NA
"13","Euphrasia frigida",NA,NA,NA,NA,NA
"14","Galium odoratum",NA,NA,NA,NA,NA
"15","Gymnadenia conopsea",NA,NA,NA,NA,NA
"16","Koenigia islandica",NA,NA,NA,NA,NA
"17","Lathyrus vernus",NA,NA,NA,NA,NA
"18","Narthecium ossifragum",NA,NA,NA,NA,NA
"19","Oxytropis lapponica",NA,NA,NA,NA,NA
"20","Pedicularis oederi",NA,NA,NA,NA,NA
"21","Potentilla crantzii",NA,NA,NA,NA,NA
"22","Veronica alpina",NA,NA,NA,NA,NA
"23","Veronica fruticans",NA,NA,NA,NA,NA
"24","Viola biflora",NA,NA,NA,NA,NA
